0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,0,0,31,2,1,3,2,2,1,2,1,2,2,3,2,2,1,3
0,0,0,31,2,2,2,2,2,1,2,1,2,3,2,2,2,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,31,2,2,2,2,2,2,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,33,6,6,6,8,7,5,7
0,0,0,0,0,32,4,4,4,4,4,4,4,4,4,4,4,4,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,32,4,4,4,5,4,4,4
0,0,0,31,2,2,2,2,2,1,2,1,2,2,3,2,2,1,3
0,0,0,32,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0,0,0,30,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,31,2,2,2,1,3,1,2,2,2,2,2,2,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,31,2,2,2,1,2,2,2,2,2,2,2,2,2
0,0,0,0,0,0,0,0,0,30,2,1,3,2,2,2,2,2,2
0,0,0,32,4,3,5,4,4,3,5,3,4,4,5,4,4,4,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,31,2,2,2,2,2,1,2,1,2,2,3,2,2,1,3
0,0,0,0,0,31,2,2,2,1,3,1,2,2,2,2,2,2,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,32,4,3,5,3,5,3,5,3,4,4,5,4,4,4,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,34,8,8,9,8,8,8,8,8,8,9,8,9,8,9,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,32,4,4,4,4,4,4,4,4,4,4,4,4,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,31,2,1,3,2,2,1,2,1,2,2,3,2,2,1,3
0,0,0,31,2,1,3,2,2,1,2,1,2,2,3,2,2,1,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,15,20,6,6,6,6,6,6,7,6,6,6,6,6,6,7
0,0,0,32,6,6,6,6,6,6,7,6,6,6,6,6,6,6,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,32,5,4,4,3,5,3,4,4,5,4,4,4,4
0,0,0,32,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
0,0,0,0,0,31,2,2,2,1,2,2,2,2,2,2,2,2,2
0,0,0,32,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0,0,0,31,2,1,3,2,2,1,2,1,2,2,2,2,2,2,2
0,0,0,0,0,0,0,0,0,30,3,1,2,2,2,2,2,2,2
0,0,0,32,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0,0,0,31,2,1,2,3,2,1,2,1,2,2,2,3,2,1,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,31,2,1,2,2,2,1,3,1,2,2,2,2,2,2,2
0,0,0,32,4,3,5,4,4,4,4,3,4,4,5,4,4,4,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,32,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4
0,0,0,31,2,1,3,2,2,1,2,1,2,2,3,2,2,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,31,2,2,2,1,2,2,2,2,2,2,2,2,2
0,0,0,31,2,1,2,3,2,1,2,1,2,2,3,2,2,2,2
0,0,0,32,4,4,3,5,4,4,4,3,4,4,5,4,4,4,4
0,0,0,0,0,31,2,2,2,2,1,2,2,2,2,2,2,2,2
0,0,0,0,0,31,2,2,2,1,3,1,2,2,2,2,2,2,2
0,0,0,31,2,1,3,2,2,1,2,1,2,2,3,2,2,1,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,31,2,1,3,2,2,1,2,1,2,2,3,2,2,1,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,33,6,6,6,7,6,6,6,6,6,6,6,7,6,7,5
0,0,0,31,2,1,2,3,2,1,2,1,2,2,2,3,2,1,3
0,0,0,31,2,2,2,2,2,1,2,1,2,2,3,2,2,1,2
0,0,0,0,0,32,4,4,4,3,5,3,4,4,5,4,4,4,4
0,0,0,32,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
0,0,0,0,0,33,6,6,6,6,6,6,6,6,7,7,6,6,6
0,0,0,31,2,2,2,2,2,1,2,1,2,2,3,2,2,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,30,2,1,3,2,2,2,2,2,2
0,0,0,32,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,33,8,8,8,8,9,9,9,8,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,30,5,4,4,4,4,4,4,4,4,4,4,4,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,31,2,1,3,2,2,1,2,1,2,3,2,2,2,2,2
0,0,0,32,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
0,0,0,32,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0,0,0,0,0,0,0,0,0,32,6,6,6,6,6,7,6,6,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,31,2,1,3,2,2,1,2,1,2,2,3,2,2,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,31,2,1,3,2,2,1,2,1,2,2,3,2,2,2,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,31,2,2,2,2,2,1,2,1,2,2,3,2,2,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,31,2,1,3,2,2,1,2,1,2,2,2,3,2,1,2
0,0,0,32,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,32,4,3,5,4,4,4,4,3,4,4,5,4,4,4,4
0,0,0,0,0,32,4,5,4,3,5,3,4,4,4,4,4,4,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
